PREGUNTA,RESPUESTA_A,RESPUESTA_B,RESPUESTA_C,RESPUESTA_D,RESPUESTA_CORRECTA,BLOQUE,AUTOR,PROMOCION,ANNO_CREACION,OBSERVACIONES,NUMERO_TEST,NUMERO_PREGUNTA,ID,TEMAS,REVISADA,ESTADO,REVISOR,SENTENCIA,,EXAMEN,ESTADO,,
La Constitución Española reconoce el derecho de reunión:,Pacífica y sin armas pero con necesidad de autorización previa.,En lugares de tránsito público previa autorización de la autoridad.,En los casos de reuniones en lugares de tránsito público y manifestaciones se dará comunicación previa a la autoridad.,No es preciso realizar ninguna actuación.,C,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
"Según la Constitución Española, la cuestión de confianza planteada por el Presidente del Gobierno, se entenderá otorgada cuando vote a su favor la mayoría:",absoluta de las Cortes Generales.,absoluta del Congreso de los Diputados.,simple de las Cortes Generales.,simple del Congreso de los Diputados.,D,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
"De conformidad con la Constitución Española, ¿ cuál de los siguientes derechos y libertades es susceptible de tutela a través del recurso de amparo ante el Tribunal Constitucional?",El derecho a la propiedad privada.,El derecho de asociación.,El derecho de fundación.,El derecho de negociación colectiva.,B,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
"Según la Constitución española en su Artículo 159, los miembros del Tribunal Constitucional serán designados por un período de:",seis años y se renovarán por terceras partes cada tres.,nueve años y se renovarán por terceras partes cada tres.,ocho años y se renovarán por terceras partes cada dos.,cuatro años y se renovarán por terceras partes cada dos.,B,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
"Según el Artículo 115 de la Constitución Española, el Presidente del Gobierno, previa deliberación del Consejo de Ministros, y bajo su responsabilidad, podrá proponer la disolución de:","El Congreso, el senado o las Cortes Generales.",Solamente el Congreso.,"El Congreso, pero sólo mediante la tramitación de una moción de censura.","El Congreso y el Senado, mediante Referéndum.",A,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
"El artículo 152 de la Constitución española se refiere a la organización instituicional básica de cada Comunidad Autónoma, la cual se basará en:","Una Consellería legislativa, una Delegación de Gobierno, un Presidente y un Tribunal Superior de Justicia.","Una Asamble legislativa, un Presidente, un Delegado de Gobierno y un Comité Superior del Poder Judicial.","Una Asamble legislativa, un Consejo de Gobierno, un Presidente y un Tribunal Superior de Justicia.","Un Consejo legislativo, una Delegación de Gobierno, un Presidente y un Tribunal Supremo.",C,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
¿Qué es lo que caracteriza un decreto-ley?,No puede afectar al ordenamiento de las instituciones básicas del Estado.,Es dictado por las Cortes Generales en casos de urgente necesidad.,Es dictado por el Presidente del Gobierno en casos de extraordinaria y urgente necesidad.,Es dictado por el Gobierno por encargo de las Cortes Generales.,A,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
¿Qué tipo de ley aprueba los estatutos de autonomía?,Una ley ordinaria.,Una ley orgánica.,Una ley de bases.,Una ley de transferencia.,B,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,CORREGIDA,Ortografía,
"Señale la afirmación correcta de acuerdo con la regulación que contiene el Artículo 116 de la Constitución Española de los estados de alarma, excepción y sitio:","El estado de sitio será declarado por la mayoría absoluta del Congreso de los Diputados, a propuesta exclusiva del Gobierno.","El estado de excepción será declarado por el Gobierno mediante Acuerdo de Ministros, previa autorización del Senado.","El estado de alarma será declarado por la mayoría simple del Congreso de los Diputados, a propuesta exclusiva del Gobierno.","La declaración de los estados de alarma, excepción y sitio sí modificarán el principio de responsabilidad del Gobierno y de sus agentes reconocidos en la CE y en las leyes.",A,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
"El Presidente del Tribunal Constitucional, según lo establecido en el Artículo 160 de la Constitución Española será nombrado entre sus miembros por:",l Consejo General del Poder Judicial,El pleno de Tribunal Constitucional,"El Presidente del Gobierno, a propuesta del pleno del Tribunal Constitucional.","Por el Rey, a propuesta del mismo Tribunal en pleno.",D,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
"Según el Artículo 113 de la Constitución Española, la moción de censura deberá ser propuesta:",al menos por 50 Diputados.,al menos por la décima parte de los Diputados.,por la Mesa del Congreso de los Diputados.,al menos por dos grupos políticos del Congreso de los Diputados.,B,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
El Título IV de la Constitución Española de 1978 dispone que el Gobierno:,"Se compone del Presidente, los Vicepresidentes y los Secretarios de Estado.",Ejerce la función ejecutiva y la legislativa de acuerdo con la Constitución y las leyes.,"Cesa tras la celebración de elecciones generales, en los casos de pérdida de confianza parlamentaria, o por dimisión o fallecimiento de su Presidente.",El presidente y los demás miembros del Gobierno son nombrados por el Rey a propuesta del Presidente del Congreso.,C,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
Señale cuál de las siguientes funciones NO está atribuida constitucionalmente al Rey:,El mando supremo de las Fuerzas Armadas.,Autorizar indultos generales.,Sancionar las leyes.,Promulgar las leyes.,B,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,REVISADA,,
"En cuanto a las fuentes del derecho, las normas jurídicas contenidas en los tratados internacionales:",serán de aplicación directa en España-,serán de aplicación directa y pasarán a formar parte del ordenamiento interno una vez ratificadas por España.,no serán de aplicación directa en Espapa en tanto no hayan pasado a formar parte ddel ordenamiento interno mediante su publicación oficial en España.,"ratificados por España y publicadas en el BOE, no son fuente de derecho.",C,BL,LGD,PREPARATIC24,2016,Constitución de 1978,,,,1,,,,,,,CORREGIDA,Ortografía,
