PREGUNTA,RESPUESTA_A,RESPUESTA_B,RESPUESTA_C,RESPUESTA_D,RESPUESTA_CORRECTA,BLOQUE,AUTOR,PROMOCION,ANNO_CREACION,OBSERVACIONES,NUMERO_TEST,NUMERO_PREGUNTA,ID,TEMAS,REVISADA,ESTADO,REVISOR,SENTENCIA,,EXAMEN
"En virtud del Derecho de Acceso a que se refiere el artículo 15 de la Ley Orgánica 15/1999, de 13 de diciembre, de Protección de Datos de Carácter Personal:","El interesado, previo pago de la tasa correspondiente, tendrá derecho a obtener información sobre sus datos de carácter personal sometidos a tratamiento.",El interesado tendrá derecho a que se le faciliten gratuitamente las claves de acceso o códigos para el acceso a sus datos de carácter personal o profesional que estén siendo tratados.,"El interesado tendrá derecho a obtener información gratuita de sus datos de carácter personal sometidos a tratamiento, pero en ningún caso de las comunicaciones que se prevean hacer de ellos.","El derecho de acceso a que se refiere este artículo sólo podrá ser ejercitado a intervalos no inferiores a doce meses, salvo que el interesado acredite un interés legítimo al efecto, en cuyo caso podrán ejercitarlo antes.",D,B1,A.deGrado,PREPARATIC24,2016,,,,,35,OK,,,INSERT,,Examen TIC A1 2011
En relación con los entornos de workflow indique la afirmación correcta:,A partir de la representación de un proceso en notación BPMN puede obtenerse su especificación en BPEL y viceversa.,WS-BPEL v 2.0 ya permite incorporar al modelado los procesos manuales.,BPMN incluye tanto el modelado de la secuencia de actividades como los datos y mensajes intercambiados entre los participantes.,"XPDL y BPEL son implementaciones distintas de BPMN, XPDL basada en XML y BPEL en web services.",C,B3,A.deGrado,PREPARATIC24,2016,,,,,86,OK,,,INSERT,,Examen TIC A1 2011
"Según ITIL v3, ¿cuál de las siguientes es una actividad del proceso de la Gestión de Activos y Configuración del Servicio?",Tener en cuenta todos los activos financieros de la Organización.,Especificar los atributos relevantes para cada Elemento de Configuración (CI).,Construir modelos de servicio para justificar implementaciones ITIL.,Implementar ITIL en la organización.,B,B3,A.deGrado,PREPARATIC24,2016,,,,,101,OK,,,INSERT,,Examen TIC A1 2011
Cuál de los siguientes NO es un algoritmo de funciones hash:,SHA-256.,BASH.,WHIRLPOOL.,HAVAL.,B,B2,A.deGrado,PREPARATIC24,2016,,,,,76,OK,,,INSERT,,Examen TIC A1 2011
Los certificados de clave pública,Que se ajustan a la recomendación X.509 v.2 no admiten extensiones.,Tienen en torno a 1 Mbytes.,Que se ajustan a la recomendación X.509 v.3 sólo admiten como algoritmo de cifrado el RSA.,Fueron propuestos por Diffie y Hellman en su artículo en que establecieron las bases de los criptosistemas de clave pública.,A,B2,A.deGrado,PREPARATIC24,2016,,,,,76,,,,INSERT,,Examen TIC A1 2011
"Según el modelo de Mc Call, ¿cuál de las siguientes NO es una medida directa aplicable a un atributo relativo a un producto?",Estructuración.,Coste.,Modularidad.,Acoplamiento.,C,B3,A.deGrado,PREPARATIC24,2016,,,,,93,,,,INSERT,,Examen TIC A1 2011
El entorno donde se ejecutan todas las aplicaciones .NET se llama:,Swing,ASP.NET,ECLIPSE,CLR,D,B2,A.deGrado,PREPARATIC24,2016,,,,,63,,,,INSERT,,Examen TIC A1 2011
"En el ejercicio del Derecho de oposición, el responsable del fichero resolverá sobre la solicitud de oposición:",En el plazo máximo de quince días a contar desde la recepción de la solicitud.,En el plazo máximo de veinte días a contar desde la recepción de la solicitud.,En el plazo máximo de un mes a contar desde la recepción de la solicitud.,En el plazo máximo de diez días a contar desde la recepción de la solicitud.,D,B1,A.deGrado,PREPARATIC24,2016,,,,,35,,,,INSERT,,Examen TIC A1 2011
Las funciones resumen (hash) MD5 y SHA-1 tienen en común:,Que ambas admiten mensajes de entrada de longitud máxima 264 Mbytes.,Que ambas generan resúmenes de 128 bits.,Que ambas realizan relleno de bits (si procede) en el último bloque del mensaje.,Que ambas realizan 80 iteraciones por bloque del mensaje.,C,B2,A.deGrado,PREPARATIC24,2016,,,,,76,,,,INSERT,,Examen TIC A1 2011
Identificar que protocolo no está diseñado específicamente para la extensión de las SAN sobre protocolo IP:,Iftp,iSCSI,FCIP,iFCP,A,B2,A.deGrado,PREPARATIC24,2016,,,,,53,,,,INSERT,,Examen TIC A1 2011
"Cuál de los siguientes tipos de canales, en comunicaciones móviles, permite la comunicación directa móvil a móvil:",Semidúplex.,Dúplex.,Símplex a una frecuencia.,Símplex a dos frecuencias.,C,B4,A.deGrado,PREPARATIC24,2016,,,,,117,,,,INSERT,,Examen TIC A1 2011
El Texto Refundido de la Ley de la Protección Intelectual establece que la duración de la protección de los derechos de explotación sobre los programas de ordenador se extiende como máximo a:,"70 años computados desde el día siguiente a la divulgación lícita del programa, si el autor es una persona jurídica.",50 años desde el 1 de enero del año siguiente a la divulgación lícita del programa o a su creación si no se hubiera divulgado.,"Toda la vida del autor y 70 años después de su muerte, si el autor es una persona física.","50 años desde el 1 de enero del año siguiente a la divulgación lícita del programa, cualquiera que sea la personalidad del autor.",C,B1,A.deGrado,PREPARATIC24,2016,,,,,41,,,,INSERT,,Examen TIC A1 2011
