PREGUNTA,RESPUESTA_A,RESPUESTA_B,RESPUESTA_C,RESPUESTA_D,RESPUESTA_CORRECTA,BLOQUE,AUTOR,PROMOCION,ANNO_CREACION,OBSERVACIONES,NUMERO_TEST,NUMERO_PREGUNTA,ID,TEMAS,REVISADA,ESTADO,REVISOR,SENTENCIA,,EXAMEN,ESTADO_SEGUNDA_REVISION,
Identifique la infracción considerada como grave por la Ley de Protección de Datos:,No solicitar la inscripción del fichero de datos de carácter personal en el Registro General de Protección de Datos.,La recogida de datos en forma engañosa y fraudulenta,"El impedimento o la obstaculización del ejercicio de los derechos de acceso, rectificación, cancelación y oposición.",No cesar en el tratamiento ilícito de datos de carácter personal cuando existiese un previo requerimiento del Director en la Agencia Española de Protección de Datos para ello.,C,B1,CMM,XX,2011,,0,0,0,35,2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuál de las siguientes es una herramienta informática de apoyo a los compradores públicos?,PROS@.,ISTMO.,SSD-AAPP.,Ninguna de las anteriores.,C,B1,JLO,I - XI,2002,,16,89,1,38,2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuál de los siguientes no se considera un motivo para ordenar una auditoría?:,Para determinar el origen del malfuncionamiento de una aplicación,Para determinar el estado del sistema ante un cambio importante,Para determinar cual es el motivo del malfuncionamiento del sistema,"Para determinar si los proyectos transcurren según lo establecido, en cuanto a recursos, objetivos etc",A,B1,JLO,I - XI,2002,,17,70,5,"36,45",2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuál de los siguientes organismos no corresponde a la estructura organizativa técnica de la normalización comunitaria?:,ETSI (Instituto Europeo de Normalización de Telecomunicaciones),CENELEC (Comité Europeo de Electrónica),SITAR (Instituto Internacional de Tratamiento de la Información),CEPT (Confederación Europea de Administraciones de Correos y Telecomunicaciones),C,B1,JLO,I - XI,2002,,14,14,6,48,2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuál de los siguientes puntos de verificación de WAI (en la norma WCAG 1.0) no es de prioridad 1?,"""Titule cada marco para facilitar la identificación y navegación de los mismos""","""En las tablas de datos, identifique los encabezamientos de fila y columna""","""Asegure que toda la información transmitida a través de los colores también esté disponible sin color, por ejemplo mediante el contexto o por marcadores""","""Utilice hojas de estilo para controlar la maquetación y la presentación""",D,B1,JLO,I - XI,2002,,7,45,8,42,2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuál es la decisión del Consejo de las Comunidades Europeas que fija la política comunitaria sobre las compras públicas en el sector de la tecnología de la información y de las comunicaciones?:,Decisión 87-95-CEE,Decreto 88-91-CEE,Decreto 88-90-CEE,Decisión 91-88-CEE,A,B1,JLO,I - XI,2002,,0,0,10,43,2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuál no es un aspecto concreto por el que la tecnología de la información afecta directamente a la competitividad de las empresas?:,Alteración o cambio de las estructuras de las industrias,Simplifica las tareas realizar,Afecta a los costes y a la diferenciación estratégica,Expande las actividades haciendo que se puedan crear nuevos negocios,B,B1,JLO,I - XI,2002,,46,51,15,25,2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuál no es una metodología de planificación de la capacidad?:,Reglas basadas en el conocimiento,Métodos analíticos,Benchmark,Simulación,A,B1,JLO,I - XI,2002,,53,65,17,39,2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuál no es una metodología para la planificación de la capacidad de un sistema informático?:,Simulación,La programación lineal,las reglas basadas en la experiencia,La teoría de colas,B,B1,JLO,I - XI,2002,,20,94,18,39,2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuáles de los siguientes son objetivos importantes que persigue la política comunitaria en materia de normalización?:,Crear un entorno competitivo y defender y proteger la inversión de los usuarios en las tecnologías de la información,Crear un entorno de trabajo uniforme y normalizado en todas las administraciones europeas y conseguir la plena movilidad de funcionarios a través de las distintas instituciones de toda la UE,Suprimir las barreras de comercio en el sector de tecnologías de información en el mercado único con vistas a proteger la industria europea de la materia,Las respuestas a) y b) en conjunto,D,B1,JLO,I - XI,2002,,2,74,20,48,2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuáles son las características fundamentales establecidas por X/Open en el entorno de los sistemas abiertos?:,"Interoperabilidad, seguridad y portabilidad","Portabilidad, interconectividad e interoperabilidad","Portabilidad, escalabilidad e interoperabilidad","Integridad, interconectivilidad e interoperabilidad",C,B1,JLO,I - XI,2002,,20,61,21,48,2016,CORREGIDA,LGD,UPDATE,,,,
"¿Cómo se denomina al derecho o facultad que se reconoce al afectado para recabar información gratuita sobre sus datos de carácter personal, ya estén incluidos o vayan a ser tratados?:",Derecho de información,Derecho de acceso,Derecho de consulta al Registro General de Protección de Datos,Derecho de cancelación,B,B1,JBV,I - XI,2002,,24,88,22,35,2016,CORREGIDA,LGD,UPDATE,,,,
¿Cómo se denomina la comprobación de si un producto en el campo de las TI satisface o no los requisitos técnicos de una norma?:,Certificación,Homologación,Prueba de conformidad,Comprobación de especificación técnica,C,B1,JLO,I - XI,2002,,0,0,23,48,2016,CORREGIDA,LGD,UPDATE,,,,
¿Cómo se denomina la posibilidad de funcionamiento en distintas plataformas sin necesidad de cambios en el aplicativo?:,Interoperatividad,Compatibilidad,Portabilidad,Normalización,C,B1,JLO,I - XI,2002,,16,15,24,43,2016,CORREGIDA,LGD,UPDATE,,,,
¿Cómo se denominan los distintos niveles de adecuación contemplados en WAI?,"A, B, C y D","A, AA y AAA","A1, A2 y A3","1, 2, 3 y 4",B,B1,JLO,I - XI,2002,,15,25,25,42,2016,CORREGIDA,LGD,UPDATE,,,,
¿Cómo se llama la licencia bajo la que se distribuye el software del proyecto GNU?:,MPL,BSD,GPL,PPL,C,B1,JLO,I - XI,2002,,37,25,26,66,2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuál de entre las siguientes es una condición indispensable para la creación de un fichero de las Administraciones Públicas?:,La existencia de un Código Tipo regulando su uso,La aprobación de dicha creación mediante Acuerdo del Consejo de Ministros,"La publicación de una disposición general en el ""Boletín Oficial del Estado"" o diario oficial correspondiente",Una resolución del Director de la Agencia de Protección de Datos autorizándola,C,B1,JBV,I - XI,2002,,45,91,27,35,2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuál de estos métodos no persigue directamente la reducción del TCO?:,Inventario,Estandarización,Control de la configuración,Centralización,D,B1,JLO,I - XI,2002,,18,12,28,39,2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuál de las actuaciones siguientes corresponde a una auditoría informática?:,Recomendar situaciones,Planes estratégicos de seguridad,Planes de aseguramiento de calidad,Reorganización de los recursos humanos del departamento informático,A,B1,JLO,I - XI,2002,,51,23,29,"36,45",2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuál de las siguientes afirmaciones acerca de la auditoría informática es falsa?:,La finalidad de la auditoría informática es emitir un juicio acerca del estado de los sistemas,"La auditoría informática llega siempre a una valoración o diagnóstico final, positivo o negativo",La auditoría informática propone acciones a realizar,La auditoría informática analiza tanto la infraestructura física y lógica como la estructura organizativa,B,B1,JLO,I - XI,2002,,33,39,30,"36,45",2016,CORREGIDA,LGD,UPDATE,,,,
¿Cuál de las siguientes afirmaciones es falsa respecto a la auditoría?:,"Independientemente del tipo de auditoría informática que pretenda realizarse, la finalidad última es emitir un juicio acerca del estado de los sistemas",Del fin de la auditoría habrán de obtenerse los medios y las acciones de investigación que se estimen necesarios para su consecución,"La auditoría siempre recomendará la toma de acciones correctivas, independientemente del examen de situación realizado","Cuando la tarea del auditor sea muy compleja, se llevará a cabo una división de funciones de forma arborescente",C,B1,JLO,I - XI,2002,,28,83,31,"36,45",2016,CORREGIDA,LGD,UPDATE,,,,
